,sentiment_analysis,developer,release_date
5032,0,Rail Slave Games,2014
5150,2,Rail Slave Games,2014
5078,2,Rainbow Games,2015
4963,1,"Raven Software,Aspyr (Mac)",2003
4804,1,Razorworks,2005
2315,1,Razvan,2015
1819,2,Re-Logic,2011
1820,1,Re-Logic,2011
1821,0,Re-Logic,2011
1822,2,Re-Logic,2011
1823,0,Re-Logic,2011
1824,1,Re-Logic,2011
1825,2,Re-Logic,2011
1826,0,Re-Logic,2011
1827,1,Re-Logic,2011
1828,2,Re-Logic,2011
1829,2,Re-Logic,2011
1830,1,Re-Logic,2011
1831,1,Re-Logic,2011
1832,1,Re-Logic,2011
1833,2,Re-Logic,2011
1834,2,Re-Logic,2011
1835,2,Re-Logic,2011
1836,2,Re-Logic,2011
1837,1,Re-Logic,2011
1838,2,Re-Logic,2011
1839,2,Re-Logic,2011
1840,1,Re-Logic,2011
1841,1,Re-Logic,2011
1842,0,Re-Logic,2011
1843,0,Re-Logic,2011
1844,2,Re-Logic,2011
1845,2,Re-Logic,2011
1846,1,Re-Logic,2011
1847,2,Re-Logic,2011
1848,1,Re-Logic,2011
1849,1,Re-Logic,2011
1850,2,Re-Logic,2011
1851,2,Re-Logic,2011
1852,2,Re-Logic,2011
1853,0,Re-Logic,2011
1854,2,Re-Logic,2011
1855,2,Re-Logic,2011
1856,2,Re-Logic,2011
1857,0,Re-Logic,2011
1858,0,Re-Logic,2011
1859,2,Re-Logic,2011
1860,0,Re-Logic,2011
1861,0,Re-Logic,2011
1862,2,Re-Logic,2011
1863,1,Re-Logic,2011
1864,1,Re-Logic,2011
1865,1,Re-Logic,2011
1866,2,Re-Logic,2011
1867,1,Re-Logic,2011
1868,1,Re-Logic,2011
1869,1,Re-Logic,2011
1870,2,Re-Logic,2011
1871,2,Re-Logic,2011
1872,1,Re-Logic,2011
1873,1,Re-Logic,2011
1874,1,Re-Logic,2011
1875,2,Re-Logic,2011
1876,2,Re-Logic,2011
1877,0,Re-Logic,2011
1878,1,Re-Logic,2011
1879,0,Re-Logic,2011
1880,2,Re-Logic,2011
1881,0,Re-Logic,2011
1882,2,Re-Logic,2011
1883,2,Re-Logic,2011
1884,2,Re-Logic,2011
1885,1,Re-Logic,2011
1886,2,Re-Logic,2011
1887,2,Re-Logic,2011
1888,2,Re-Logic,2011
1889,2,Re-Logic,2011
1890,1,Re-Logic,2011
1891,2,Re-Logic,2011
1892,1,Re-Logic,2011
1893,2,Re-Logic,2011
1894,1,Re-Logic,2011
1895,0,Re-Logic,2011
1896,1,Re-Logic,2011
1897,1,Re-Logic,2011
1898,2,Re-Logic,2011
1899,2,Re-Logic,2011
3454,2,Reakktor Studios,2016
4590,1,Reality Pump Studios,2011
4591,1,Reality Pump Studios,2011
1573,2,Rebellion,2010
4255,0,Rebellion,2012
4256,2,Rebellion,2012
4257,1,Rebellion,2012
4258,1,Rebellion,2012
4259,2,Rebellion,2012
4260,0,Rebellion,2012
4261,1,Rebellion,2012
4262,1,Rebellion,2012
5028,2,Rebellion,2013
4500,2,Rebellion,2014
4501,2,Rebellion,2014
4502,2,Rebellion,2014
4503,2,Rebellion,2014
4432,2,Rebellion,2015
4433,2,Rebellion,2015
4434,0,Rebellion,2015
472,2,Red Barrels,2013
473,2,Red Barrels,2013
474,2,Red Barrels,2013
475,2,Red Barrels,2013
476,0,Red Barrels,2013
477,1,Red Barrels,2013
478,1,Red Barrels,2013
479,1,Red Barrels,2013
480,2,Red Barrels,2013
3921,0,Red Barrels,2014
4842,0,Red Hook Studios,2016
4843,0,Red Hook Studios,2016
4844,2,Red Hook Studios,2016
4845,1,Red Hook Studios,2016
4846,1,Red Hook Studios,2016
4363,1,"Red Storm Entertainment,Ubisoft Montreal",2003
2795,2,Red Team Games,2015
5093,2,Red Thread Games,2017
4929,0,"Redlynx Ltd,Ubisoft  Shanghaï",2013
4930,0,"Redlynx Ltd,Ubisoft  Shanghaï",2013
4803,0,Reiza Studios,2014
4105,2,Relic Entertainment,2006
4106,1,Relic Entertainment,2006
5064,0,Relic Entertainment,2006
3893,1,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",2013
3894,2,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",2013
3895,1,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",2013
3896,1,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",2013
3897,2,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",2013
5143,0,"Relic Entertainment,Feral Interactive (Mac/Linux)",2009
5063,1,"Relic Entertainment,Feral Interactive (Mac/Linux)",2010
3307,2,Reloaded Productions,2011
3308,1,Reloaded Productions,2011
3309,2,Reloaded Productions,2011
3310,0,Reloaded Productions,2011
3311,2,Reloaded Productions,2011
3312,2,Reloaded Productions,2011
3313,2,Reloaded Productions,2011
3314,1,Reloaded Productions,2011
3315,1,Reloaded Productions,2011
3316,1,Reloaded Productions,2011
4352,1,Reloaded Productions,2011
1969,1,Remedy Entertainment,2001
1970,0,Remedy Entertainment,2001
4301,2,Remedy Entertainment,2003
4566,2,Remedy Entertainment,2012
4567,0,Remedy Entertainment,2012
2610,1,Reto-Moto,2016
2611,1,Reto-Moto,2016
2612,1,Reto-Moto,2016
2613,2,Reto-Moto,2016
2614,2,Reto-Moto,2016
2615,1,Reto-Moto,2016
2616,2,Reto-Moto,2016
2617,2,Reto-Moto,2016
2618,0,Reto-Moto,2016
2619,2,Reto-Moto,2016
2620,0,Reto-Moto,2016
2621,2,Reto-Moto,2016
2622,0,Reto-Moto,2016
2623,1,Reto-Moto,2016
2624,2,Reto-Moto,2016
2625,1,Reto-Moto,2016
2626,2,Reto-Moto,2016
2627,2,Reto-Moto,2016
4295,1,Retro Yeti Games,2015
4296,2,Retro Yeti Games,2015
4099,2,Rival Games Ltd,2014
3693,2,Rob Howland,2014
2104,2,RobTop Games,2014
2105,0,RobTop Games,2014
2106,1,RobTop Games,2014
2107,0,RobTop Games,2014
2108,2,RobTop Games,2014
2109,2,RobTop Games,2014
2110,1,RobTop Games,2014
2111,2,RobTop Games,2014
2112,1,RobTop Games,2014
3929,2,Robot Entertainment,2011
5049,2,Robot Entertainment,2012
5050,2,Robot Entertainment,2012
5051,1,Robot Entertainment,2012
5021,0,Robot Entertainment,2017
5022,1,Robot Entertainment,2017
4475,2,Rocket Bear Games,2014
4476,2,Rocket Bear Games,2014
4743,2,"Rocketeer Games Studio, LLC",2015
4207,2,Rockstar Games,2003
4208,2,Rockstar Games,2003
3898,0,Rockstar Games,2005
3899,1,Rockstar Games,2005
3900,1,Rockstar Games,2005
3901,1,Rockstar Games,2005
3902,1,Rockstar Games,2005
3903,0,Rockstar Games,2005
4404,1,Rockstar New England,2008
4405,2,Rockstar New England,2008
4406,1,Rockstar New England,2008
4407,2,Rockstar New England,2008
4408,2,Rockstar New England,2008
3023,0,Rockstar North,2015
3024,2,Rockstar North,2015
3025,1,Rockstar North,2015
3026,2,Rockstar North,2015
3027,1,Rockstar North,2015
3028,1,Rockstar North,2015
3029,1,Rockstar North,2015
3030,1,Rockstar North,2015
3031,1,Rockstar North,2015
3032,2,Rockstar North,2015
3033,0,Rockstar North,2015
3034,2,Rockstar North,2015
3035,2,Rockstar North,2015
3036,1,Rockstar North,2015
3037,2,Rockstar North,2015
3038,1,Rockstar North,2015
3039,2,Rockstar North,2015
3040,1,Rockstar North,2015
3041,2,Rockstar North,2015
3042,2,Rockstar North,2015
3043,2,Rockstar North,2015
3044,1,Rockstar North,2015
3045,2,Rockstar North,2015
3046,1,Rockstar North,2015
3047,2,Rockstar North,2015
3048,1,Rockstar North,2015
3049,1,Rockstar North,2015
3050,2,Rockstar North,2015
3051,1,Rockstar North,2015
3052,1,Rockstar North,2015
3053,2,Rockstar North,2015
4485,2,Rockstar Studios,2012
4486,2,Rockstar Studios,2012
4487,2,Rockstar Studios,2012
4488,1,Rockstar Studios,2012
4489,2,Rockstar Studios,2012
4490,2,Rockstar Studios,2012
4491,2,Rockstar Studios,2012
4492,2,Rockstar Studios,2012
3660,0,Rocksteady Studios,2015
3661,2,Rocksteady Studios,2015
3662,2,Rocksteady Studios,2015
3663,2,Rocksteady Studios,2015
3664,1,Rocksteady Studios,2015
3665,2,Rocksteady Studios,2015
4681,1,"Rocksteady Studios,Feral Interactive (Mac)",2010
4682,2,"Rocksteady Studios,Feral Interactive (Mac)",2010
4683,1,"Rocksteady Studios,Feral Interactive (Mac)",2010
3651,1,"Rocksteady Studios,Feral Interactive (Mac)",2012
3652,1,"Rocksteady Studios,Feral Interactive (Mac)",2012
3653,1,"Rocksteady Studios,Feral Interactive (Mac)",2012
3654,1,"Rocksteady Studios,Feral Interactive (Mac)",2012
3655,0,"Rocksteady Studios,Feral Interactive (Mac)",2012
3656,1,"Rocksteady Studios,Feral Interactive (Mac)",2012
5228,2,Rogue Entertainment,1996
3014,1,Rogue Snail,2015
4981,1,Roll7,2015
5230,2,Roll7,2015
3455,1,Ronimo Games,2012
3456,2,Ronimo Games,2012
3457,2,Ronimo Games,2012
3458,0,Ronimo Games,2012
3459,0,Ronimo Games,2012
3460,2,Ronimo Games,2012
3461,2,Ronimo Games,2012
3462,2,Ronimo Games,2012
3463,0,Ronimo Games,2012
3464,1,Ronimo Games,2012
3465,2,Ronimo Games,2012
3466,2,Ronimo Games,2012
3467,2,Ronimo Games,2012
5104,2,Room710Games,2016
4087,2,Rooster Teeth Games,2016
4088,1,Rooster Teeth Games,2016
4396,2,Rovio Entertainment Ltd,2013
3922,0,Rubycone,2015
3497,2,Runic Games,2012
3498,2,Runic Games,2012
3499,1,Runic Games,2012
3500,2,Runic Games,2012
3501,2,Runic Games,2012
3502,2,Runic Games,2012
3503,2,Runic Games,2012
3504,1,Runic Games,2012
3505,2,Runic Games,2012
3506,2,Runic Games,2012
3507,1,Runic Games,2012
3508,1,Runic Games,2012
3509,2,Runic Games,2012
5289,1,Running With Scissors,1997
2318,1,Running With Scissors,2003
2319,0,Running With Scissors,2003
2320,0,Running With Scissors,2003
2321,1,Running With Scissors,2003
2322,2,Running With Scissors,2003
2323,2,Running With Scissors,2003
2324,0,Running With Scissors,2003
2325,0,Running With Scissors,2003
2326,1,Running With Scissors,2003
2327,1,Running With Scissors,2003
2328,2,Running With Scissors,2003
2329,1,Running With Scissors,2003
3453,0,S.C. 16 BIT NIGHTS S.R.L.,2016
5199,1,SCS Software,2012
2547,2,SCS Software,2013
2548,0,SCS Software,2013
2549,1,SCS Software,2013
2550,2,SCS Software,2013
2551,0,SCS Software,2013
2552,2,SCS Software,2013
2553,2,SCS Software,2013
2554,0,SCS Software,2013
2555,2,SCS Software,2013
2556,2,SCS Software,2013
2557,1,SCS Software,2013
2558,1,SCS Software,2013
4348,1,SCS Software,2016
4349,2,SCS Software,2016
4350,2,SCS Software,2016
4995,0,SEGA,2011
3104,1,SEGA,2012
4761,0,SEGA,2014
4762,2,SEGA,2014
4763,1,SEGA,2014
4400,2,"SNK CORPORATION,DotEmu",2014
4401,1,"SNK CORPORATION,DotEmu",2014
4402,1,"SNK CORPORATION,DotEmu",2014
4552,2,STRIKEWORKS,2015
5092,0,STUDIO RADI-8,2014
3351,2,SUPERHOT Team,2016
3352,2,SUPERHOT Team,2016
3353,1,SUPERHOT Team,2016
3354,2,SUPERHOT Team,2016
5177,0,"Sachonski,Renamilanesi,Sith",2016
4519,2,Sam Barlow,2015
5003,0,Sapphire Dragon Productions,2015
5294,2,"Schine, GmbH",2014
3360,1,Scott Cawthon,2014
3361,1,Scott Cawthon,2014
3362,1,Scott Cawthon,2014
3363,0,Scott Cawthon,2014
3364,1,Scott Cawthon,2014
3365,0,Scott Cawthon,2014
3366,2,Scott Cawthon,2014
3367,0,Scott Cawthon,2014
3368,0,Scott Cawthon,2014
3369,2,Scott Cawthon,2014
3370,0,Scott Cawthon,2014
3371,2,Scott Cawthon,2014
3372,2,Scott Cawthon,2014
3373,2,Scott Cawthon,2014
3374,2,Scott Cawthon,2014
3375,1,Scott Cawthon,2014
3411,2,Scott Cawthon,2014
3412,1,Scott Cawthon,2014
3413,1,Scott Cawthon,2014
3414,1,Scott Cawthon,2014
3415,2,Scott Cawthon,2014
3416,2,Scott Cawthon,2014
3417,2,Scott Cawthon,2014
4079,1,Scott Cawthon,2014
4626,1,Scott Cawthon,2015
4627,0,Scott Cawthon,2015
4628,2,Scott Cawthon,2015
4695,0,Scott Cawthon,2015
4696,2,Scott Cawthon,2015
5081,2,Screwfly Studios,2014
4527,2,Secret Exit Ltd.,2010
5220,2,Secret Exit Ltd.,2014
4754,1,Section Studios,2015
3830,2,Sector3 Studios,2013
3831,1,Sector3 Studios,2013
4294,2,Senscape,2014
4906,0,ShaunJS,2014
4999,1,Shawn Beck,2014
5005,2,Shining Gate Software,2015
3862,2,Shining Rock Software LLC,2014
3863,1,Shining Rock Software LLC,2014
3864,2,Shining Rock Software LLC,2014
3865,1,Shining Rock Software LLC,2014
3866,2,Shining Rock Software LLC,2014
3867,1,Shining Rock Software LLC,2014
3868,1,Shining Rock Software LLC,2014
3869,0,Shining Rock Software LLC,2014
3870,2,Shining Rock Software LLC,2014
4660,1,Shiro Games,2013
4661,0,Shiro Games,2013
5187,2,Shiro Games,2015
4625,2,"Shokunin,Thomas M. Visser,Vincent Thiele",2016
4775,1,Shortbreak Studios s.c.,2014
4781,2,Shumkov Dmitriy,2014
4782,0,Shumkov Dmitriy,2014
4783,2,Shumkov Dmitriy,2014
4784,1,Shumkov Dmitriy,2014
4785,1,Shumkov Dmitriy,2014
4786,1,Shumkov Dmitriy,2014
4787,2,Shumkov Dmitriy,2014
3586,1,"Signal Studios,Smart Ghost",2015
3587,2,"Signal Studios,Smart Ghost",2015
3588,0,"Signal Studios,Smart Ghost",2015
4585,2,Silver Dollar Games,2014
4586,0,Silver Dollar Games,2014
5011,1,SimBin,2007
4220,2,Skatanic Studios,2016
5291,2,Sky Drake Studios,2014
4196,0,"Skybox Labs,Hidden Path Entertainment,Ensemble Studios",2013
4197,1,"Skybox Labs,Hidden Path Entertainment,Ensemble Studios",2013
4198,1,"Skybox Labs,Hidden Path Entertainment,Ensemble Studios",2013
4199,1,"Skybox Labs,Hidden Path Entertainment,Ensemble Studios",2013
4200,2,"Skybox Labs,Hidden Path Entertainment,Ensemble Studios",2013
4201,1,"Skybox Labs,Hidden Path Entertainment,Ensemble Studios",2013
4202,2,"Skybox Labs,Hidden Path Entertainment,Ensemble Studios",2013
4203,2,"Skybox Labs,Hidden Path Entertainment,Ensemble Studios",2013
4204,1,"Skybox Labs,Hidden Path Entertainment,Ensemble Studios",2013
2155,2,"Sledgehammer Games,Raven Software",2014
2156,2,"Sledgehammer Games,Raven Software",2014
2157,2,"Sledgehammer Games,Raven Software",2014
2158,0,"Sledgehammer Games,Raven Software",2014
2159,1,"Sledgehammer Games,Raven Software",2014
2160,0,"Sledgehammer Games,Raven Software",2014
2161,2,"Sledgehammer Games,Raven Software",2014
2162,0,"Sledgehammer Games,Raven Software",2014
4723,0,Sleepy Duck,2016
5266,1,Slightly Mad Studios,2011
3770,2,Smartly Dressed Games,2014
3771,2,Smartly Dressed Games,2014
3772,2,Smartly Dressed Games,2014
1476,0,Smartly Dressed Games,2017
1477,0,Smartly Dressed Games,2017
1478,1,Smartly Dressed Games,2017
1479,2,Smartly Dressed Games,2017
1480,1,Smartly Dressed Games,2017
1481,2,Smartly Dressed Games,2017
1482,1,Smartly Dressed Games,2017
1483,2,Smartly Dressed Games,2017
1484,1,Smartly Dressed Games,2017
1485,0,Smartly Dressed Games,2017
1486,0,Smartly Dressed Games,2017
1487,2,Smartly Dressed Games,2017
1488,2,Smartly Dressed Games,2017
1489,0,Smartly Dressed Games,2017
1490,1,Smartly Dressed Games,2017
1491,1,Smartly Dressed Games,2017
1492,2,Smartly Dressed Games,2017
1493,1,Smartly Dressed Games,2017
1494,2,Smartly Dressed Games,2017
1495,1,Smartly Dressed Games,2017
1496,1,Smartly Dressed Games,2017
1497,1,Smartly Dressed Games,2017
1498,1,Smartly Dressed Games,2017
1499,1,Smartly Dressed Games,2017
1500,2,Smartly Dressed Games,2017
1501,1,Smartly Dressed Games,2017
1502,1,Smartly Dressed Games,2017
1503,2,Smartly Dressed Games,2017
1504,1,Smartly Dressed Games,2017
1505,1,Smartly Dressed Games,2017
1506,2,Smartly Dressed Games,2017
1507,1,Smartly Dressed Games,2017
1508,1,Smartly Dressed Games,2017
1509,1,Smartly Dressed Games,2017
1510,1,Smartly Dressed Games,2017
1511,2,Smartly Dressed Games,2017
1512,2,Smartly Dressed Games,2017
1513,0,Smartly Dressed Games,2017
1514,2,Smartly Dressed Games,2017
1515,1,Smartly Dressed Games,2017
1516,1,Smartly Dressed Games,2017
1517,1,Smartly Dressed Games,2017
1518,1,Smartly Dressed Games,2017
1519,1,Smartly Dressed Games,2017
1520,2,Smartly Dressed Games,2017
1521,2,Smartly Dressed Games,2017
1522,1,Smartly Dressed Games,2017
1523,1,Smartly Dressed Games,2017
1524,1,Smartly Dressed Games,2017
1525,2,Smartly Dressed Games,2017
1526,2,Smartly Dressed Games,2017
1527,0,Smartly Dressed Games,2017
1528,1,Smartly Dressed Games,2017
1529,0,Smartly Dressed Games,2017
1530,2,Smartly Dressed Games,2017
1531,0,Smartly Dressed Games,2017
1532,2,Smartly Dressed Games,2017
1533,2,Smartly Dressed Games,2017
1534,1,Smartly Dressed Games,2017
1535,0,Smartly Dressed Games,2017
1536,0,Smartly Dressed Games,2017
1537,2,Smartly Dressed Games,2017
1538,1,Smartly Dressed Games,2017
1539,1,Smartly Dressed Games,2017
1540,2,Smartly Dressed Games,2017
1541,2,Smartly Dressed Games,2017
1542,2,Smartly Dressed Games,2017
1543,1,Smartly Dressed Games,2017
1544,1,Smartly Dressed Games,2017
1545,1,Smartly Dressed Games,2017
1546,1,Smartly Dressed Games,2017
1547,2,Smartly Dressed Games,2017
1548,2,Smartly Dressed Games,2017
1549,1,Smartly Dressed Games,2017
1550,2,Smartly Dressed Games,2017
1551,0,Smartly Dressed Games,2017
1552,2,Smartly Dressed Games,2017
1553,1,Smartly Dressed Games,2017
1554,2,Smartly Dressed Games,2017
1555,2,Smartly Dressed Games,2017
1556,0,Smartly Dressed Games,2017
1557,2,Smartly Dressed Games,2017
1558,2,Smartly Dressed Games,2017
1559,0,Smartly Dressed Games,2017
1560,2,Smartly Dressed Games,2017
1561,1,Smartly Dressed Games,2017
1562,1,Smartly Dressed Games,2017
1563,1,Smartly Dressed Games,2017
1564,1,Smartly Dressed Games,2017
1565,2,Smartly Dressed Games,2017
1566,2,Smartly Dressed Games,2017
1567,2,Smartly Dressed Games,2017
1568,2,Smartly Dressed Games,2017
1569,2,Smartly Dressed Games,2017
1570,2,Smartly Dressed Games,2017
1571,1,Smartly Dressed Games,2017
1572,0,Smartly Dressed Games,2017
620,2,SmashGames,2014
621,2,SmashGames,2014
5261,1,Smoking WOLF,2014
4799,2,Smudged Cat Games Ltd,2012
4946,2,Snails Animation,2015
4838,2,Snapshot Games Inc.,2015
2796,2,SnoutUp,2016
2797,1,SnoutUp,2016
5213,1,"SnowFlame,Back To Basics Gaming",2016
4982,1,Snowblind Studios,2011
4905,0,"Soloweb Studios,Ravens Eye Studio",2015
3916,0,Sometimes You,2015
1648,2,Sonic Team,2015
1649,2,Sonic Team,2015
1650,1,Sonic Team,2015
4915,1,Sorath,2016
4916,2,Sorath,2016
5027,1,Sos,2012
5251,2,Soul Forge,2015
4672,0,South East Games,2014
5276,2,Soviet Games,2014
4806,2,Space Budgie,2013
3197,1,"Space Cat Studios,SnowFlame,Back To Basics Gaming",2015
3198,2,"Space Cat Studios,SnowFlame,Back To Basics Gaming",2015
3199,1,"Space Cat Studios,SnowFlame,Back To Basics Gaming",2015
3200,2,"Space Cat Studios,SnowFlame,Back To Basics Gaming",2015
3666,2,"Sparpweed,Codeglue",2014
3773,1,Spiderling Studios,2015
3774,1,Spiderling Studios,2015
3775,1,Spiderling Studios,2015
3776,1,Spiderling Studios,2015
3777,2,Spiderling Studios,2015
3778,2,Spiderling Studios,2015
3779,2,Spiderling Studios,2015
3780,2,Spiderling Studios,2015
3781,2,Spiderling Studios,2015
4056,1,Spidermonk Entertainment,2009
4057,1,Spidermonk Entertainment,2009
5223,2,"Spike Chunsoft Co., Ltd.,Abstraction Games",2016
3403,2,Splash Damage,2011
1006,2,Splash Damage,2015
1007,1,Splash Damage,2015
1008,2,Splash Damage,2015
1009,1,Splash Damage,2015
1010,2,Splash Damage,2015
1011,2,Splash Damage,2015
1012,0,Splash Damage,2015
1013,0,Splash Damage,2015
1014,1,Splash Damage,2015
1015,1,Splash Damage,2015
1016,2,Splash Damage,2015
1017,2,Splash Damage,2015
1018,2,Splash Damage,2015
1019,2,Splash Damage,2015
1020,1,Splash Damage,2015
1021,2,Splash Damage,2015
1022,1,Splash Damage,2015
1023,2,Splash Damage,2015
1024,1,Splash Damage,2015
1025,2,Splash Damage,2015
5264,2,Spooky Squid Games Inc.,2012
3237,0,Squad,2015
3238,2,Squad,2015
3239,1,Squad,2015
3240,2,Squad,2015
3241,2,Squad,2015
3242,2,Squad,2015
3201,2,Square Enix,2014
5004,0,Square Enix,2014
4214,0,Square Enix,2015
5095,2,Square Enix,2015
5298,1,Square Enix,2016
4504,2,"Square Enix,DotEmu SAS.",2014
4950,0,Stage 2 Studios,2014
4831,2,Stainless Games,2013
4832,0,Stainless Games,2013
5167,1,Stainless Games Ltd.,2015
3248,0,Star Gem Inc.,2013
3249,0,Star Gem Inc.,2013
4888,2,Star Vault AB,2015
5046,1,Starbreeze,2003
1638,2,Starbreeze Studios AB,2013
1639,1,Starbreeze Studios AB,2013
1640,2,Starbreeze Studios AB,2013
1641,0,Starbreeze Studios AB,2013
1642,1,Starbreeze Studios AB,2013
1643,2,Starbreeze Studios AB,2013
1644,2,Starbreeze Studios AB,2013
5260,2,Stardock Entertainment,2015
2542,1,Stegersaurus Software Inc.,2014
2543,2,Stegersaurus Software Inc.,2014
2544,1,Stegersaurus Software Inc.,2014
2545,1,Stegersaurus Software Inc.,2014
5282,2,Stolen Couch Games,2015
5232,2,Stout Games,2011
4769,1,Straight Right,2015
4072,2,Strange Fire,2016
5135,2,Streum On Studio,2011
5136,2,Streum On Studio,2011
3000,0,Stridemann,2014
3001,2,Stridemann,2014
3002,0,Stridemann,2014
2816,2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017
2817,2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017
2818,2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017
2819,2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017
2820,1,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017
2821,0,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017
2822,2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017
2823,0,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017
2824,1,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017
2825,2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017
2826,0,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017
2827,1,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017
2828,2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017
2829,2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017
2830,0,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017
2831,1,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017
2832,2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017
2833,2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017
2834,1,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017
2835,0,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017
2836,1,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017
2837,1,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017
2838,1,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017
2839,2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017
2840,2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017
2841,1,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017
2842,2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017
2843,2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017
2844,0,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017
2845,2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017
2846,0,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017
2847,2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017
2848,2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017
2849,1,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017
2850,2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017
2851,1,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017
2852,0,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017
2853,1,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017
2854,2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017
2668,0,Subset Games,2012
2669,1,Subset Games,2012
2670,0,Subset Games,2012
2671,1,Subset Games,2012
2672,1,Subset Games,2012
2673,1,Subset Games,2012
2674,2,Subset Games,2012
2675,1,Subset Games,2012
2676,0,Subset Games,2012
2677,2,Subset Games,2012
2678,1,Subset Games,2012
2679,1,Subset Games,2012
2680,2,Subset Games,2012
2681,2,Subset Games,2012
2682,2,Subset Games,2012
2683,2,Subset Games,2012
2684,2,Subset Games,2012
2685,1,Subset Games,2012
2686,2,Subset Games,2012
2687,2,Subset Games,2012
2688,1,Subset Games,2012
4336,2,Sumo Digital,2013
4337,1,Sumo Digital,2013
4338,1,Sumo Digital,2013
4339,2,Sumo Digital,2013
4340,2,Sumo Digital,2013
4192,2,Sun-Studios,2017
4089,0,Supergiant Games,2011
4090,2,Supergiant Games,2011
4091,2,Supergiant Games,2011
4092,1,Supergiant Games,2011
4093,1,Supergiant Games,2011
4094,2,Supergiant Games,2011
4095,2,Supergiant Games,2011
4096,2,Supergiant Games,2011
4097,1,Supergiant Games,2011
4098,1,Supergiant Games,2011
2125,2,Supergiant Games,2014
2126,1,Supergiant Games,2014
2127,0,Supergiant Games,2014
2128,1,Supergiant Games,2014
2129,1,Supergiant Games,2014
4381,2,Suspicious Developments,2013
4382,2,Suspicious Developments,2013
4383,1,Suspicious Developments,2013
4384,0,Suspicious Developments,2013
4385,2,Suspicious Developments,2013
4386,2,Suspicious Developments,2013
3968,2,Suspicious Developments,2014
3969,2,Suspicious Developments,2014
3970,1,Suspicious Developments,2014
5156,2,Sven Co-op Team,1999
5157,2,Sven Co-op Team,1999
5158,0,Sven Co-op Team,1999
4971,0,"Syrin Studios,Small Impact Games",2016
4421,0,TB Games,2015
4422,2,TB Games,2015
5154,2,TERC,2015
3785,2,"TT Games Ltd,Feral Interactive (Mac)",2014
3786,0,"TT Games Ltd,Feral Interactive (Mac)",2014
4766,2,"TT Games,Traveller's Tales",2017
